Wall time,Step,Value
1735105736.0,0,-1.2249
1735105736.0,1,-2.1142
1735105736.0,2,-2.8568
1735105736.0,3,-3.5181
1735105736.0,4,-3.855
1735105736.0,5,-4.1481
1735105736.0,6,-4.8348
1735105736.0,7,-5.302
1735105736.0,8,-5.7526
1735105736.0,9,-6.1007
1735105736.0,10,-6.2755
1735105736.0,11,-6.6196
1735105736.0,12,-6.8672
1735105736.0,13,-6.7335
1735105736.0,14,-6.961
1735105736.0,15,-6.9797
1735105736.0,16,-7.2018
1735105736.0,17,-7.0898
1735105736.0,18,-7.3717
1735105736.0,19,-6.9482
1735105736.0,20,-7.2933
1735105736.0,21,-6.4923
1735105736.0,22,-6.8907
1735105736.0,23,-7.1909
1735105736.0,24,-7.2353
1735105736.0,25,-7.3218
1735105736.0,26,-7.4863
1735105736.0,27,-7.5068
1735105736.0,28,-7.6027
1735105736.0,29,-7.2847
1735105736.0,30,-6.9961
1735105736.0,31,-7.1961
1735105736.0,32,-7.6189
1735105736.0,33,-7.2954
1735105736.0,34,-7.6552
1735105736.0,35,-7.7905
1735105736.0,36,-7.3751
1735105736.0,37,-6.8159
1735105736.0,38,-7.1392
1735105736.0,39,-6.8061
1735105736.0,40,-7.0143
1735105736.0,41,-7.1242
1735105736.0,42,-6.9717
1735105736.0,43,-7.0707
1735105736.0,44,-7.0334
1735105736.0,45,-7.2047
1735105736.0,46,-7.3047
1735105736.0,47,-7.3005
1735105736.0,48,-6.9525
1735105736.0,49,-6.8184
1735105736.0,50,-6.7916
1735105736.0,51,-7.0879
1735105736.0,52,-7.3054
1735105736.0,53,-7.3261
1735105736.0,54,-7.3064
1735105736.0,55,-6.8455
1735105736.0,56,-7.1631
1735105736.0,57,-7.2546
1735105736.0,58,-7.2764
1735105736.0,59,-7.2165
1735105736.0,60,-7.2592
1735105736.0,61,-7.3158
1735105736.0,62,-7.4211
1735105736.0,63,-7.6945
1735105736.0,64,-7.2459
1735105736.0,65,-7.5394
1735105736.0,66,-7.5297
1735105736.0,67,-7.6717
1735105736.0,68,-7.4379
1735105736.0,69,-7.7183
1735105736.0,70,-7.0969
1735105736.0,71,-7.6091
1735105736.0,72,-7.7031
1735105736.0,73,-7.6321
1735105736.0,74,-7.8932
1735105736.0,75,-7.64
1735105736.0,76,-7.51
1735105736.0,76,-7.51
1735105736.0,77,-7.6612
1735105736.0,78,-7.7874
1735105736.0,79,-7.6624
1735105736.0,80,-7.8274
1735105736.0,81,-7.7192
1735105736.0,82,-7.8552
1735105736.0,83,-7.9783
1735105736.0,84,-7.9747
1735105736.0,85,-7.9535
1735105736.0,86,-7.6815
1735105736.0,87,-8.0541
1735105736.0,88,-7.9671
1735105736.0,89,-8.1201
1735105736.0,90,-8.0352
1735105736.0,91,-8.1673
1735105736.0,92,-8.2769
1735105736.0,93,-8.1995
1735105736.0,94,-8.2936
1735105736.0,95,-8.2408
1735105736.0,96,-7.9001
1735105736.0,97,-7.9848
1735105736.0,98,-8.0258
1735105736.0,99,-7.6943
1735105736.0,100,-7.6996
1735105736.0,101,-7.1173
1735105736.0,102,-7.3787
1735105736.0,103,-6.9537
1735105736.0,104,-7.2484
1735105736.0,105,-7.3348
1735105736.0,106,-7.7559
1735105736.0,107,-7.1114
1735105736.0,108,-7.3454
1735105736.0,109,-7.5979
1735105736.0,110,-7.6962
1735105736.0,111,-7.2625
1735105736.0,112,-7.923
1735105736.0,113,-7.8121
1735105736.0,114,-7.6951
1735105736.0,115,-7.7713
1735105736.0,116,-7.83
1735105736.0,117,-7.9795
1735105736.0,118,-8.0084
1735105736.0,119,-7.8534
1735105736.0,120,-8.026
1735105736.0,121,-7.8491
1735105736.0,122,-7.8827
1735105736.0,123,-7.3348
1735105736.0,124,-7.6897
1735105736.0,125,-7.3681
1735105736.0,126,-7.5552
1735105736.0,127,-7.5386
1735105736.0,128,-7.7473
1735105736.0,129,-7.648
1735105736.0,130,-7.7825
1735105736.0,131,-7.7215
1735105736.0,132,-7.9973
1735105736.0,133,-8.1496
1735105736.0,134,-8.1855
1735105736.0,135,-7.9097
1735105736.0,136,-8.0404
1735105736.0,137,-8.3324
1735105736.0,138,-8.1466
1735105736.0,139,-7.9028
1735105736.0,140,-7.8107
1735105736.0,141,-8.0738
1735105736.0,142,-7.9945
1735105736.0,143,-8.0198
1735105736.0,144,-7.9533
1735105736.0,145,-7.8598
1735105736.0,146,-7.9914
1735105736.0,147,-7.6684
1735105736.0,148,-8.2045
1735105736.0,149,-8.464
1735105736.0,150,-8.6822
1735105736.0,151,-8.7924
1735105736.0,152,-8.7358
1735105736.0,153,-8.5136
1735105736.0,154,-8.7194
1735105736.0,155,-8.7451
1735105736.0,156,-9.0217
1735105736.0,157,-8.5982
1735105736.0,158,-7.9755
1735105736.0,159,-8.3852
1735105736.0,160,-8.7058
1737007535.0216658,161,-8.528325080871582
1737008718.9066708,162,-8.5946626663208
1737009832.657252,163,-8.838855743408203
1737010885.0969138,164,-8.487239837646484
1737012056.7576602,165,-8.40546989440918
1737013438.7274685,166,-8.843242645263672
1737014822.404179,167,-9.042200088500977
1737015918.0878456,168,-8.779921531677246
1737016920.4667585,169,-8.633742332458496
1737018064.4044025,170,-8.848895072937012
1737019176.2660904,171,-9.088046073913574
1737020290.6026657,172,-9.08731746673584
1737021446.2586012,173,-9.149225234985352
1737022644.176506,174,-8.786758422851562
1737023651.6367853,175,-9.17063808441162
1737024634.10774,176,-9.116071701049805
1737025827.734403,177,-8.916905403137207
1737027164.8843625,178,-9.29692268371582
1737028353.3334668,179,-9.248406410217283
1737029536.3661988,180,-9.124034881591797
1737030838.082707,181,-9.057848930358888
1737032159.1747994,182,-9.02601146697998
1737033439.8856547,183,-9.41093921661377
1737034746.6359973,184,-9.46342658996582
1737036031.432798,185,-9.323617935180664
1737037340.9269934,186,-9.648802757263184
1737038631.1298566,187,-9.714555740356444
1737039945.0202303,188,-9.657015800476074
1737041238.3070946,189,-9.743349075317385
1737042548.227054,190,-9.768914222717283
1737043858.2963035,191,-9.662943840026855
1737045176.0121057,192,-8.615103721618652
1737046472.6369252,193,-9.763766288757324
1737047764.55141,194,-9.77823543548584
1737049054.9925835,195,-9.640938758850098
1737050348.3447876,196,-9.847655296325684
1737051641.987101,197,-9.211102485656738
1737052933.4966533,198,-9.558146476745604
1737054225.8825974,199,-9.7351713180542
1737106598.687402,200,-10.033833503723145
1737107661.712823,201,-9.888395309448242
1737109029.5168128,202,-9.970085144042969
1737110058.8535533,203,-10.031254768371582
1737111277.7938254,204,-9.815675735473633
1737112579.4190185,205,-9.70734691619873
1737113882.109972,206,-9.91506290435791
1737115135.7559173,207,-9.86269760131836
1737116294.054794,208,-9.152167320251465
1737117451.680731,209,-9.700864791870115
1737118609.5797777,210,-9.83938694000244
1737119765.7746184,211,-9.943589210510254
