Wall time,Step,Value
1735105736.848112,0,-0.5520935654640198
1735107020.9931607,1,-0.7371060848236084
1735108304.2637823,2,-0.8335916996002197
1735109593.072642,3,-1.0304715633392334
1735110876.8802178,4,-1.179004192352295
1735112149.8933177,5,-1.312123417854309
1735113417.3587937,6,-1.3923320770263672
1735114693.905252,7,-1.4223278760910034
1735115975.4807355,8,-1.4844746589660645
1735117261.4532177,9,-1.2288663387298584
1735118546.147618,10,-1.4414136409759521
1735120021.1356914,11,-1.516533374786377
1735121291.4477918,12,-1.4743846654891968
1735122566.5656,13,-1.5457983016967773
1735124020.6946878,14,-1.671407699584961
1735125283.8100271,15,-1.7206872701644897
1735126559.5698211,16,-1.7168829441070557
1735186459.1892827,17,-1.7593446969985962
1735187747.1586955,18,-1.8070132732391357
1735189029.634064,19,-1.7599064111709595
1735190308.864645,20,-1.7460576295852661
1735191586.90516,21,-1.8208820819854736
1735192867.2590027,22,-1.9189962148666382
1735194154.5127864,23,-1.873237133026123
1735195459.3516355,24,-1.982313871383667
1735196780.4030664,25,-1.9158861637115479
1735198060.6271842,26,-2.0652761459350586
1735199354.305925,27,-2.1730096340179443
1735200657.7061799,28,-2.223515510559082
1735201975.6414852,29,-2.34002685546875
1735203265.4224195,30,-2.3252646923065186
1735204549.618879,31,-2.3165814876556396
1735205828.3321388,32,-2.368321418762207
1735207106.18449,33,-2.409072160720825
1735208382.7536297,34,-2.4704174995422363
1735209671.9865782,35,-2.5069215297698975
1735210990.946879,36,-2.50655198097229
1735212340.5501065,37,-2.5427002906799316
1735213662.145303,38,-2.593930959701538
1735272488.7971017,39,-2.400763988494873
1735273765.4584084,40,-2.5803256034851074
1735275044.1525552,41,-2.518038749694824
1735276318.624595,42,-2.4637789726257324
1735277594.5394094,43,-2.367931365966797
1735278869.1124938,44,-2.612358331680298
1735280142.2796695,45,-2.591893196105957
1735281419.034606,46,-2.5945308208465576
1735282715.634951,47,-2.6637027263641357
1735284057.2383852,48,-2.636646032333374
1735285399.1497693,49,-2.562234401702881
1735286740.5392206,50,-2.5347282886505127
1735288082.712127,51,-2.5082664489746094
1735289424.7954283,52,-2.541027545928955
1735290765.7026646,53,-2.595937490463257
1735292106.4409485,54,-2.6884443759918213
1735293447.5155458,55,-2.720985174179077
1735294788.3695586,56,-2.723435640335083
1735296129.059424,57,-2.7857627868652344
1735297469.991275,58,-2.908355712890625
1735298810.9029527,59,-2.841259717941284
1735300152.0900197,60,-2.705202341079712
1735301493.003649,61,-2.5673153400421143
1735302833.7034023,62,-2.7080459594726562
1735304174.7335083,63,-2.6257758140563965
1735305515.828502,64,-2.7073237895965576
1735306856.815292,65,-2.7866365909576416
1735308197.896704,66,-2.769937753677368
1735309538.3141332,67,-2.7396798133850098
1735310878.9461904,68,-2.7982561588287354
1735312219.600052,69,-2.886418581008911
1735313561.735634,70,-2.898975133895874
1735314902.803914,71,-2.856713056564331
1735316243.3496747,72,-2.892369031906128
1735317583.9887948,73,-2.952784299850464
1735318924.6613069,74,-2.9743289947509766
1735320265.3591936,75,-2.8359055519104004
1735321605.8214614,76,-2.870291233062744
1735322946.3914616,77,-2.87263560295105
1735324286.8792775,78,-2.903888702392578
1735325627.5035586,79,-2.879035711288452
1735326967.938928,80,-2.882819414138794
1735328309.1589208,81,-2.948441982269287
1735329649.9523556,82,-3.002427577972412
1735330990.3974085,83,-2.7940938472747803
1735332331.0339177,84,-2.812619686126709
1735333671.6755192,85,-2.9332149028778076
1735335012.716094,86,-2.9564075469970703
1735336353.9862497,87,-3.0089473724365234
1735337694.860336,88,-3.0395021438598633
1735339036.1067445,89,-3.0023117065429688
1735340377.3307738,90,-3.1401329040527344
1735341718.3949041,91,-3.078812599182129
1735343059.4161117,92,-3.0691616535186768
1735344399.9992585,93,-2.957212209701538
1735345740.374986,94,-2.987318515777588
1735347080.8952615,95,-2.9510116577148438
1735348421.2325876,96,-3.068063259124756
1735349761.9690392,97,-3.022254705429077
1735351102.522201,98,-3.073099374771118
1735352443.0673425,99,-3.1412155628204346
1735353783.3501272,100,-3.0763344764709473
1735355123.796625,101,-3.0993876457214355
1735356464.2315195,102,-3.2408790588378906
1735357804.5073032,103,-3.0887038707733154
1735359144.7828126,104,-3.1994361877441406
1735360485.1892388,105,-3.0799224376678467
1735361825.9660666,106,-3.2579047679901123
1735363166.4183104,107,-3.1837828159332275
1735364506.8732402,108,-3.027975559234619
1735365847.3242075,109,-3.127737283706665
1735367187.7354941,110,-3.273826837539673
1735368528.428429,111,-3.2791759967803955
1735369868.859456,112,-3.2352161407470703
1735371209.46004,113,-3.2493417263031006
1735372550.549597,114,-3.2771804332733154
1735373891.6066496,115,-3.225823402404785
1735375231.7525644,116,-3.160475254058838
1735376572.381148,117,-3.2453434467315674
1735377912.7947228,118,-3.359755039215088
1735379253.2560863,119,-3.4267444610595703
1735380593.5663948,120,-3.3744425773620605
1735381934.1803875,121,-3.3132009506225586
1735383274.9496737,122,-3.376666307449341
1735384615.2036722,123,-3.3754451274871826
1735385955.3767083,124,-3.4571335315704346
1735387295.6550686,125,-3.381659507751465
1735388636.0420566,126,-3.427168846130371
1735389977.0287662,127,-3.432086706161499
1735391317.391275,128,-3.5164051055908203
1735392657.6263778,129,-3.512388229370117
1735393998.1344635,130,-3.4649429321289062
1735395338.5850568,131,-3.5056569576263428
1735396678.8531964,132,-3.622256278991699
1735398019.0252676,133,-3.594680070877075
1735399359.772469,134,-3.590578317642212
1735400699.841818,135,-3.597727060317993
1735402040.1401749,136,-3.597627878189087
1735403380.5266554,137,-3.6545517444610596
1735404720.8749068,138,-3.5949208736419678
1735406061.4462428,139,-3.5422799587249756
1735407401.9354575,140,-3.35015869140625
1735408742.2971554,141,-3.3226535320281982
1735410082.7622538,142,-3.4887900352478027
1735411423.1106455,143,-3.457282304763794
1735412764.229444,144,-3.5382957458496094
1735414105.1163747,145,-3.580399751663208
1735415446.0697925,146,-3.5868828296661377
1735416786.9718406,147,-3.5931308269500732
1735418128.0377133,148,-3.5858240127563477
1735419469.194794,149,-3.614978313446045
1735420809.1528206,150,-3.7005815505981445
1735422152.134759,151,-3.6564061641693115
1735423493.0993192,152,-3.6592350006103516
1735424833.7042162,153,-3.687455654144287
1735426174.431434,154,-3.6844253540039062
1735427514.968097,155,-3.7178518772125244
1735428855.550546,156,-3.6930253505706787
1735430196.4428027,157,-3.6317226886749268
1735431537.205006,158,-3.535691261291504
1735432878.0502117,159,-3.622694253921509
1735434218.411755,160,-3.7038345336914062
1735435559.4539292,161,-3.6926918029785156
1735436900.3177743,162,-3.679976224899292
1735438241.318568,163,-3.6951587200164795
1735439581.9153063,164,-3.7579100131988525
1735440922.8158996,165,-3.673248529434204
1735442263.23305,166,-3.7553272247314453
1735443604.0466826,167,-3.771696090698242
1735444944.7120354,168,-3.7012834548950195
1735446285.0735404,169,-3.761190414428711
1735447625.6568246,170,-3.687007188796997
1735448966.0600843,171,-3.828651189804077
1735450306.5813348,172,-3.6803925037384033
1735451647.0927625,173,-3.8360724449157715
1735452987.4822683,174,-3.835679292678833
1735454328.1549704,175,-3.884639263153076
1735455668.6231844,176,-3.8427324295043945
1735457009.198404,177,-3.523756980895996
1735458349.8446198,178,-3.742094039916992
1735459690.2256181,179,-3.8539552688598633
1735461030.8458376,180,-3.950181484222412
1735462371.3643858,181,-3.7038121223449707
1735463711.737531,182,-3.7370147705078125
1735465052.1695662,183,-3.7648637294769287
1735466392.6587968,184,-3.836076498031616
1735467733.311253,185,-3.7075424194335938
1735469073.8815873,186,-3.885563850402832
1735470414.7467802,187,-3.6928465366363525
1735471754.9171197,188,-3.958702325820923
1735473095.4683568,189,-3.797318935394287
1735474435.8107204,190,-3.9759633541107178
1735475776.6284137,191,-3.9484944343566895
1735477117.1820426,192,-3.854642868041992
1735478458.5021315,193,-3.9285025596618652
1735479799.6932013,194,-4.036952972412109
1735481141.2037766,195,-3.952855348587036
1735482482.4885192,196,-4.02354621887207
1735483824.3738477,197,-4.0224504470825195
1735485165.3101547,198,-4.023403644561768
1735486506.559116,199,-4.069937229156494
